00000 0.000000e+00 -3.039322e-15 -1.294455e-15 -7.962667e-17 -6.514938e-18 -1.831684e-18 1.359992e-20
 00000 0.000000e+00 8.212562e-14 -2.880121e-15 -1.028963e-14 -4.190335e-15 -1.033802e-15 -2.539385e-16
 00000 0.000000e+00 -4.343746e-13 -4.832156e-13 -1.813936e-13 -4.957512e-14 -1.221554e-14 -1.692431e-16
 00100 3.322941e-01 5.058409e-05 2.111674e-04 9.325270e-04 3.456622e-03 2.914017e-03 4.072502e-05
 00200 5.832699e-01 -2.501626e-04 -8.647055e-04 -1.772565e-03 3.417153e-03 7.365695e-03 1.166227e-04
 00300 7.911494e-01 -1.087531e-03 -3.867307e-03 -9.601045e-03 -1.364295e-03 1.267714e-02 2.179911e-04
 00400 9.765683e-01 -2.647636e-03 -9.358520e-03 -2.324364e-02 -1.009736e-02 1.872302e-02 3.400107e-04
 00500 1.144743e+00 -5.067880e-03 -1.760541e-02 -4.210947e-02 -2.086823e-02 2.517697e-02 4.743166e-04
 00600 1.300215e+00 -8.420194e-03 -2.849005e-02 -6.436227e-02 -3.155340e-02 3.160117e-02 6.128713e-04
 00700 1.446483e+00 -1.267687e-02 -4.140712e-02 -8.716504e-02 -4.088122e-02 3.729246e-02 7.458912e-04
 00800 1.586048e+00 -1.768211e-02 -5.516840e-02 -1.074392e-01 -4.937638e-02 4.118766e-02 8.592769e-04
 00900 1.720813e+00 -2.310034e-02 -6.801952e-02 -1.237161e-01 -5.988471e-02 4.187186e-02 9.328440e-04
 01000 1.852125e+00 -2.832947e-02 -7.868955e-02 -1.382507e-01 -7.709771e-02 3.771506e-02 9.398347e-04
 01100 1.980173e+00 -3.292252e-02 -8.828367e-02 -1.562313e-01 -1.053157e-01 2.732690e-02 8.503562e-04
 01200 2.105851e+00 -3.736419e-02 -9.945666e-02 -1.818210e-01 -1.458080e-01 9.989091e-03 6.379542e-04
 01300 2.228404e+00 -4.237004e-02 -1.136346e-01 -2.151121e-01 -1.952254e-01 -1.383700e-02 2.922154e-04
